OrderNumber,QuantityOrdered,UnitPrice ,OrderLineNumber ,TotalSaleValue,OrderDate,Status,QuarterID,Month,Year,ProductLine,TotalCost,ProductCode,CustomerName,Phone,AddressLine1,AddressLine2,City,State,PostalCode,Country,Territory,ContactLastName,ContactFirstName,DealSize
10107,30,$95.70,2,"$2,871.00",24-02-2003,Shipped,1,2,2003,Motorcycles,"$1,866.15",S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small
10121,34,$81.35,5,"$2,765.90",07-05-2003,Shipped,2,5,2003,Motorcycles,"$1,797.84",S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
10134,41,$94.74,2,"$3,884.34",01-07-2003,Shipped,3,7,2003,Motorcycles,"$2,524.82",S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,45,$83.26,6,"$3,746.70",25-08-2003,Shipped,3,8,2003,Motorcycles,"$2,435.36",S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,49,$100.00,14,"$4,900.00",10-10-2003,Shipped,4,10,2003,Motorcycles,"$3,185.00",S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,36,$96.66,1,"$3,479.76",28-10-2003,Shipped,4,10,2003,Motorcycles,"$2,261.84",S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,29,$86.13,9,"$2,497.77",11-11-2003,Shipped,4,11,2003,Motorcycles,"$1,623.55",S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small
10188,48,$100.00,1,"$4,800.00",18-11-2003,Shipped,4,11,2003,Motorcycles,"$3,120.00",S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,22,$98.57,2,"$2,168.54",01-12-2003,Shipped,4,12,2003,Motorcycles,"$1,409.55",S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small
10211,41,$100.00,14,"$4,100.00",15-01-2004,Shipped,1,1,2004,Motorcycles,"$2,665.00",S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
